Timestamp,Vault,Chain,Address,Type,Month,APY,TVL
2022-06-30,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,jun/22,0.03399492321519526,60095.55120913
2021-07-31,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,jul/21,,
2022-08-31,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,aug/22,,2600.31101381
2021-08-31,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,aug/21,,
2021-09-30,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,sep/21,,
2021-04-30,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,apr/21,,
2022-09-30,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,sep/22,,2587.27149899
2022-02-28,yvCurve-d3pool 0.4.3 - ETH,ETH,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,Other,feb/22,0.03252638518202189,181769.654284
2022-01-31,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,jan/22,,1.129045323734
2022-07-31,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,jul/22,,0.402491311849
2021-01-31,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,jan/21,,
2022-03-31,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,mar/22,,1.595991012958
2021-06-30,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,jun/21,,
2021-10-31,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,oct/21,,
2022-04-30,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,apr/22,,1.053113452896
2021-02-28,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,feb/21,,
2021-12-31,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,dec/21,,
2022-05-31,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,may/22,,0.46012734271
2021-05-31,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,may/21,,
2021-11-30,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,nov/21,,
2021-03-31,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,mar/21,,
2022-06-30,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,jun/22,,0.294783187074
2021-07-31,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,jul/21,,
2022-08-31,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,aug/22,,0.32166592556
2021-08-31,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,aug/21,,
2021-09-30,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,sep/21,,
2021-04-30,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,apr/21,,
2022-09-30,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,sep/22,,0.288831022053
2022-02-28,yvAVAX 0.4.3 - FTM,FTM,0x03B82e4070cA32FF63A03F2EcfC16c0165689a9d,Altcoin,feb/22,,1.244828740987
2022-01-31,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,jan/22,,
2022-07-31,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,jul/22,,
2021-01-31,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,jan/21,,
2022-03-31,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,mar/22,,
2021-06-30,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,jun/21,,
2021-10-31,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,oct/21,,
2022-04-30,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,apr/22,,
2021-02-28,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,feb/21,,
2021-12-31,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,dec/21,,
2022-05-31,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,may/22,,
2021-05-31,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,may/21,,
2021-11-30,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,nov/21,,
2021-03-31,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,mar/21,,
2022-06-30,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,jun/22,,
2021-07-31,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,jul/21,,
2022-08-31,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,aug/22,,0.5
2021-08-31,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,aug/21,,
2021-09-30,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,sep/21,,
2021-04-30,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,apr/21,,
2022-09-30,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,sep/22,,0.5
2022-02-28,yvsUSD 0.4.3 - OPT,OPT,0x0fBeA11f39be912096cEc5cE22F46908B5375c19,Other,feb/22,,
2022-01-31,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,jan/22,,3421.59852702
2022-07-31,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,jul/22,,3779.62330885
2021-01-31,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,jan/21,,
