Vault,Chain,Type,Month,APY (%)
yvCurve-renBTC 0.3.5 - ETH,ETH,BTC,aug/22,0.0
yvCurve-alETH 0.4.3 - ETH,ETH,ETH,aug/22,0.0
yvCurve-YFIETH 0.4.3 - ETH,ETH,Altcoin,aug/22,0.0
yvUSDT 0.3.5 - ETH,ETH,Stable,aug/22,0.001379829616518835
yvCurve-EURSUSDC 0.4.3 - ETH,ETH,Stable,aug/22,0.0606645592821653
yvCurve-Pax 0.3.5 - ETH,ETH,Stable,aug/22,0.0
yvCurve-sBTC 0.3.5 - ETH,ETH,BTC,aug/22,0.0
yvCurve-3pool 0.3.5 - ETH,ETH,Other,aug/22,0.0
yvRAI 0.4.2 - ETH,ETH,Altcoin,aug/22,0.0
yvCurve-EURN 0.4.3 - ETH,ETH,Stable,aug/22,0.0
yvCurve-mUSD 0.3.5 - ETH,ETH,Stable,aug/22,0.09852804336920418
yvCurve-yBUSD 0.3.5 - ETH,ETH,Stable,aug/22,0.0
yvCurve-BBTC 0.3.5 - ETH,ETH,BTC,aug/22,0.0
yvCurve-sETH 0.3.2 - ETH,ETH,ETH,aug/22,0.0
yvCurve-ibJPY-USDC 0.4.3 - ETH,ETH,Other,aug/22,0.0
yvBOOST 0.3.5 - ETH,ETH,Altcoin,aug/22,0.1866820540900045
yvWBTC 0.3.5 - ETH,ETH,BTC,aug/22,0.0008517158986667273
yvCurve-alUSD 0.3.5 - ETH,ETH,Stable,aug/22,0.03590213654001251
yvCurve-FRAX 0.3.5 - ETH,ETH,Stable,aug/22,0.0
yv1INCH 0.3.2 - ETH,ETH,Altcoin,aug/22,0.0
yvCurve-EURTUSD 0.4.3 - ETH,ETH,Stable,aug/22,0.0
yvDAI 0.2.2 - ETH,ETH,Stable,aug/22,0.0
yvCurve-rETH 0.3.5 - ETH,ETH,ETH,aug/22,0.0
yvCurve-RSV 0.3.5 - ETH,ETH,Other,aug/22,0.0
yvCurve-USDP 0.3.5 - ETH,ETH,Stable,aug/22,0.0
yvCurve-Compound 0.3.5 - ETH,ETH,Altcoin,aug/22,0.0
yvYFI 0.3.2 - ETH,ETH,Altcoin,aug/22,0.0
yvCurve-3Crypto 0.4.3 - ETH,ETH,Other,aug/22,0.05771737951060407
yvCurve-ibEUR-USDC 0.4.3 - ETH,ETH,Other,aug/22,0.0
yvSNX 0.3.5 - ETH,ETH,Altcoin,aug/22,0.047964925730798136
yvCurve-OUSD 0.4.3 - ETH,ETH,Stable,aug/22,0.0
yvCurve-ibKRW-USDC 0.4.3 - ETH,ETH,Other,aug/22,0.0
yvUNI 0.3.5 - ETH,ETH,Altcoin,aug/22,0.024689603035484398
yvTUSD 0.4.3 - ETH,ETH,Stable,aug/22,0.0
yvWETH 0.4.2 - ETH,ETH,ETH,aug/22,0.0038824850522651833
yvUSDC 0.4.3 - ETH,ETH,Stable,aug/22,0.0021682694381452983
yvsUSD 0.3.3 - ETH,ETH,Stable,aug/22,0.0
yvWETH 0.3.2 - ETH,ETH,ETH,aug/22,0.0039254380070996575
yvKP3RETH-f 0.4.3 - ETH,ETH,Other,aug/22,0.0
yvCurve-sAave 0.3.5 - ETH,ETH,Altcoin,aug/22,0.0
yvCurve-USDP 0.4.3 - ETH,ETH,Stable,aug/22,0.0
yvWBTC 0.3.1 - ETH,ETH,BTC,aug/22,0.0
yvCurve-DOLA 0.4.3 - ETH,ETH,Stable,aug/22,0.0
yvCurve-MIMUST 0.4.3 - ETH,ETH,Stable,aug/22,0.0
yvAAVE 0.4.3 - ETH,ETH,Altcoin,aug/22,0.0
yvDAI 0.4.3 - ETH,ETH,Stable,aug/22,0.014525526304348002
yvCurve-stETH 0.3.0 - ETH,ETH,ETH,aug/22,0.03165203945886419
yvYFI 0.4.3 - ETH,ETH,Altcoin,aug/22,0.011217616880155212
yvHEGIC 0.3.0 - ETH,ETH,Altcoin,aug/22,0.0
yvUSDC 0.2.2 - ETH,ETH,Stable,aug/22,0.0
yvCurve-oBTC 0.3.5 - ETH,ETH,BTC,aug/22,0.0
yvCurve-LINK 0.3.5 - ETH,ETH,Altcoin,aug/22,0.0
yvCurve-TUSD 0.3.5 - ETH,ETH,Stable,aug/22,0.0
yvAVAX 0.4.3 - FTM,FTM,Altcoin,aug/22,0.0
yvCRV 0.4.3 - FTM,FTM,Altcoin,aug/22,0.0
yvMIM 0.4.3 - FTM,FTM,Stable,aug/22,0.007435976597265137
yvWFTM 0.4.3 - FTM,FTM,Altcoin,aug/22,0.010230311353387256
yvBOO 0.4.3 - FTM,FTM,Altcoin,aug/22,0.11602468551392286
yvUSDT 0.4.3 - FTM,FTM,Stable,aug/22,0.00959417815939112
yvDOLA 0.4.3 - FTM,FTM,Stable,aug/22,0.0
yvfBEETS 0.4.3 - FTM,FTM,Altcoin,aug/22,0.23425629211803045
yvYFI 0.4.3 - FTM,FTM,Altcoin,aug/22,0.0
yvFRAX 0.4.3 - FTM,FTM,Stable,aug/22,0.0
yvDAI 0.4.3 - FTM,FTM,Stable,aug/22,0.0013033409666740603
yvCurve-MIM 0.4.3 - FTM,FTM,Stable,aug/22,0.014680833187275644
yvCurve-Tricrypto 0.4.3 - FTM,FTM,Other,aug/22,0.11079525805118928
yvWETH 0.4.3 - FTM,FTM,ETH,aug/22,0.00988588783879929
yvSPELL 0.4.3 - FTM,FTM,Altcoin,aug/22,0.0
yvUSDC 0.4.3 - FTM,FTM,Stable,aug/22,0.0027718730306680595
yvCurve-Geist 0.4.3 - FTM,FTM,Altcoin,aug/22,0.0032767359330410084
yvWBTC 0.4.3 - FTM,FTM,BTC,aug/22,0.003702498297245782
yvLINK 0.4.3 - FTM,FTM,Altcoin,aug/22,3.783847120075734e-05
yvCurve-UST 0.4.3 - ETH,ETH,Stable,sep/22,0.0
yvCurve-HUSD 0.3.5 - ETH,ETH,Stable,sep/22,0.0
yvCurve-EURT 0.4.3 - ETH,ETH,Stable,sep/22,0.0
yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,Other,sep/22,0.0
yvCurve-ankrETH 0.3.5 - ETH,ETH,ETH,sep/22,0.0
yvCurve-CVXETH 0.4.3 - ETH,ETH,Altcoin,sep/22,0.22576609109488466
yvCurve-d3pool 0.4.3 - ETH,ETH,Other,sep/22,0.0
yvDAI 0.3.0 - ETH,ETH,Stable,sep/22,0.012120008907692048
yvCurve-UST 0.3.5 - ETH,ETH,Stable,sep/22,0.0
yvCurve-ibAUD 0.4.3 - ETH,ETH,Iron Bank,sep/22,0.0
yvCurve-tBTC 0.3.5 - ETH,ETH,BTC,sep/22,0.0
yvCurve-EURS 0.3.5 - ETH,ETH,Stable,sep/22,0.0
st-yCRV 0.4.3 - ETH,ETH,Other,sep/22,0
yvCurve-IronBank 0.3.2 - ETH,ETH,Altcoin,sep/22,0.008891315287822499
yvCurve-USDT 0.3.5 - ETH,ETH,Stable,sep/22,0.0
yvCurve-RAI 0.4.3 - ETH,ETH,Other,sep/22,0.0
yvCurve-MIM 0.4.3 - ETH,ETH,Stable,sep/22,0.11778554267823926
yvCurve-GUSD 0.3.5 - ETH,ETH,Stable,sep/22,0.020141359292870753
yvCurve-ibCHF-USDC 0.4.3 - ETH,ETH,Other,sep/22,0.0
yvCurve-DUSD 0.3.5 - ETH,ETH,Stable,sep/22,0.0
yvCurve-STG-USDC 0.4.3 - ETH,ETH,Other,sep/22,0.06326845325409503
yvLUSD 0.4.3 - ETH,ETH,Stable,sep/22,0.053592848794980386
yvCurve-Aave 0.3.5 - ETH,ETH,Altcoin,sep/22,0.0
yvUSDT 0.4.3 - ETH,ETH,Other,sep/22,0.008175217555224767
yvCurve-USDN 0.3.5 - ETH,ETH,Stable,sep/22,0.06945316915489541
yvCurve-USDK 0.3.5 - ETH,ETH,Stable,sep/22,0.0
yvCurve-triCrypto 0.4.2 - ETH,ETH,Other,sep/22,0.0
yvCurve-pBTC 0.3.5 - ETH,ETH,BTC,sep/22,0.0
yvBalancer-BoostedAaveUSD 0.4.3 - ETH,ETH,Other,sep/22,0
yvCurve-cvxCRV 0.4.3 - ETH,ETH,Altcoin,sep/22,0.450763497554989
yvCurve-ibCHF 0.4.3 - ETH,ETH,Iron Bank,sep/22,0.0
yvCOMP 0.4.3 - ETH,ETH,Altcoin,sep/22,0.01714019759636609
yUSD 0.3.5 - ETH,ETH,Stable,sep/22,0.0
yvCurve-ibKRW 0.4.3 - ETH,ETH,Iron Bank,sep/22,0.0
yvCurve-ibJPY 0.4.3 - ETH,ETH,Iron Bank,sep/22,0.0
yvCurve-ibGBP 0.4.3 - ETH,ETH,Iron Bank,sep/22,0.0
yvCurve-3EUR 0.4.3 - ETH,ETH,Stable,sep/22,0.0
yvCurve-sUSD 0.3.5 - ETH,ETH,Stable,sep/22,0.0
yvCurve-rETHwstETH 0.4.3 - ETH,ETH,ETH,sep/22,0.0
yvCurve-ibBTC 0.4.3 - ETH,ETH,BTC,sep/22,0.0
yvUSDC 0.3.0 - ETH,ETH,Stable,sep/22,0.0
yvCurve-LUSD 0.3.5 - ETH,ETH,Stable,sep/22,0.03236518931727539
yvCurve-stETH-WETH 0.4.3 - ETH,ETH,ETH,sep/22,0.0
lp-yCRV 0.4.3 - ETH,ETH,Other,sep/22,0
yvCurve-HBTC 0.3.3 - ETH,ETH,BTC,sep/22,0.022995605617440518
yvLINK 0.4.2 - ETH,ETH,Altcoin,sep/22,0.014889179392458152
yvCurve-ibEUR 0.4.3 - ETH,ETH,Iron Bank,sep/22,0.0
yvCurve-CRVETH 0.4.3 - ETH,ETH,Altcoin,sep/22,0.17457262141494456
yvCurve-ibGBP-USDC 0.4.3 - ETH,ETH,Other,sep/22,0.0
yvCurve-BUSD 0.3.5 - ETH,ETH,Stable,sep/22,0.025357744354071343
yvCurve-USDM 0.4.3 - ETH,ETH,Stable,sep/22,0.0
yvSUSHI 0.4.3 - ETH,ETH,Altcoin,sep/22,5.158658880066724e-07
yvCurve-renBTC 0.3.5 - ETH,ETH,BTC,sep/22,0.0
yvCurve-alETH 0.4.3 - ETH,ETH,ETH,sep/22,0.0
yvCurve-YFIETH 0.4.3 - ETH,ETH,Altcoin,sep/22,0.20727209032257665
yvUSDT 0.3.5 - ETH,ETH,Stable,sep/22,0.002471943766046092
yvCurve-EURSUSDC 0.4.3 - ETH,ETH,Stable,sep/22,0.0
yvCurve-Pax 0.3.5 - ETH,ETH,Stable,sep/22,0.0
yvCurve-sBTC 0.3.5 - ETH,ETH,BTC,sep/22,0.0
yvCurve-3pool 0.3.5 - ETH,ETH,Other,sep/22,0.0
yvRAI 0.4.2 - ETH,ETH,Altcoin,sep/22,0.0
yvCurve-EURN 0.4.3 - ETH,ETH,Stable,sep/22,0.0
yvCurve-mUSD 0.3.5 - ETH,ETH,Stable,sep/22,0.0
yvCurve-yBUSD 0.3.5 - ETH,ETH,Stable,sep/22,0.0
yvCurve-BBTC 0.3.5 - ETH,ETH,BTC,sep/22,0.0
yvCurve-sETH 0.3.2 - ETH,ETH,ETH,sep/22,0.08588090873475407
yvCurve-ibJPY-USDC 0.4.3 - ETH,ETH,Other,sep/22,0.0
yvBOOST 0.3.5 - ETH,ETH,Altcoin,sep/22,0.32113447184815147
yvWBTC 0.3.5 - ETH,ETH,BTC,sep/22,0.0
yvCurve-alUSD 0.3.5 - ETH,ETH,Stable,sep/22,0.0
yvCurve-FRAX 0.3.5 - ETH,ETH,Stable,sep/22,0.025524683505092627
yv1INCH 0.3.2 - ETH,ETH,Altcoin,sep/22,0.0
yvCurve-EURTUSD 0.4.3 - ETH,ETH,Stable,sep/22,0.0
yvDAI 0.2.2 - ETH,ETH,Stable,sep/22,0.0
yvCurve-rETH 0.3.5 - ETH,ETH,ETH,sep/22,0.0
yvCurve-RSV 0.3.5 - ETH,ETH,Other,sep/22,0.0
yvCurve-USDP 0.3.5 - ETH,ETH,Stable,sep/22,0.0
yvCurve-Compound 0.3.5 - ETH,ETH,Altcoin,sep/22,0.0
yvYFI 0.3.2 - ETH,ETH,Altcoin,sep/22,0.0
yvCurve-3Crypto 0.4.3 - ETH,ETH,Other,sep/22,0.10996428494148125
yvCurve-ibEUR-USDC 0.4.3 - ETH,ETH,Other,sep/22,0.0
yvSNX 0.3.5 - ETH,ETH,Altcoin,sep/22,0.09910085444139694
yvCurve-OUSD 0.4.3 - ETH,ETH,Stable,sep/22,0.0
yvCurve-ibKRW-USDC 0.4.3 - ETH,ETH,Other,sep/22,0.0
yvUNI 0.3.5 - ETH,ETH,Altcoin,sep/22,0.008706353937264266
yvTUSD 0.4.3 - ETH,ETH,Stable,sep/22,0.0
yvWETH 0.4.2 - ETH,ETH,ETH,sep/22,0.026162120122362298
yvUSDC 0.4.3 - ETH,ETH,Stable,sep/22,0.02086901433175603
yvsUSD 0.3.3 - ETH,ETH,Stable,sep/22,0.0
yvWETH 0.3.2 - ETH,ETH,ETH,sep/22,0.0038782625657178826
yvKP3RETH-f 0.4.3 - ETH,ETH,Other,sep/22,0.0
yvCurve-sAave 0.3.5 - ETH,ETH,Altcoin,sep/22,0.0
yvCurve-USDP 0.4.3 - ETH,ETH,Stable,sep/22,0.0
yvWBTC 0.3.1 - ETH,ETH,BTC,sep/22,0.0
yvCurve-DOLA 0.4.3 - ETH,ETH,Stable,sep/22,0.14935141157218657
yvCurve-MIMUST 0.4.3 - ETH,ETH,Stable,sep/22,0.0
yvAAVE 0.4.3 - ETH,ETH,Altcoin,sep/22,0.0172636522086147
yvDAI 0.4.3 - ETH,ETH,Stable,sep/22,0.021917207837460095
yvCurve-stETH 0.3.0 - ETH,ETH,ETH,sep/22,0.03157782843344492
yvYFI 0.4.3 - ETH,ETH,Altcoin,sep/22,0.0011405022603065973
yvHEGIC 0.3.0 - ETH,ETH,Altcoin,sep/22,0.0
yvUSDC 0.2.2 - ETH,ETH,Stable,sep/22,0.0
yvCurve-oBTC 0.3.5 - ETH,ETH,BTC,sep/22,0.0
yvCurve-LINK 0.3.5 - ETH,ETH,Altcoin,sep/22,0.0
yvCurve-TUSD 0.3.5 - ETH,ETH,Stable,sep/22,0.0
yvAVAX 0.4.3 - FTM,FTM,Altcoin,sep/22,0.0
yvCRV 0.4.3 - FTM,FTM,Altcoin,sep/22,0.0
yvMIM 0.4.3 - FTM,FTM,Stable,sep/22,0.022325948917137906
yvWFTM 0.4.3 - FTM,FTM,Altcoin,sep/22,0.019672682605186065
yvBOO 0.4.3 - FTM,FTM,Altcoin,sep/22,0.11821338023171402
yvUSDT 0.4.3 - FTM,FTM,Stable,sep/22,0.008877019244031947
yvDOLA 0.4.3 - FTM,FTM,Stable,sep/22,0.0
yvfBEETS 0.4.3 - FTM,FTM,Altcoin,sep/22,0.21473829987145354
yvYFI 0.4.3 - FTM,FTM,Altcoin,sep/22,0.0
yvFRAX 0.4.3 - FTM,FTM,Stable,sep/22,0.0
yvDAI 0.4.3 - FTM,FTM,Stable,sep/22,0.006652846133922807
yvCurve-MIM 0.4.3 - FTM,FTM,Stable,sep/22,0.026918507200098585
yvCurve-Tricrypto 0.4.3 - FTM,FTM,Other,sep/22,0.10860868991116779
yvWETH 0.4.3 - FTM,FTM,ETH,sep/22,0.015986433926505672
yvSPELL 0.4.3 - FTM,FTM,Altcoin,sep/22,0.0
yvUSDC 0.4.3 - FTM,FTM,Stable,sep/22,0.006130142399510152
yvCurve-Geist 0.4.3 - FTM,FTM,Altcoin,sep/22,0.005288791003679405
yvWBTC 0.4.3 - FTM,FTM,BTC,sep/22,0.011639207386636041
yvLINK 0.4.3 - FTM,FTM,Altcoin,sep/22,0.0005747730296543629
